1	12	İdârî Birimin Yeni Harflerle Adı	Eski Harflerle Adı	Unvani 1 raw	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli raw	Bagli 1 1	Bagli 1 2	Bagli 1 3	Bagli 1 4	Unvani 2 raw	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 raw	Bagli 2 1	Bagli 2 2	Bagli 2 3	Bagli 2 4	Unvani 3 raw	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 raw	Bagli 3 1	Bagli 3 2	Bagli 3 3	Bagli 3 4	Unvani 4 raw	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 raw	Bagli 4 1	Bagli 4 2	Bagli 4 3	Bagli 4 4	Unvani 5 raw	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 raw	Bagli 5 1	Bagli 5 2	Bagli 5 3	Bagli 5 4	Unvani 6 raw	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 raw	Bagli 6 1	Bagli 6 2	Bagli 6 3	Bagli 6 4	Unvani 7	Bagli 7	Unvani 8	Bagli 8	Unvani 9	Bagli 9	Unvani 10	Bagli 10	Unvani 11	Bagli 11	Unvani 12	Bagli 12	Unvani 13	Bagli 13	Unvani 14	Bagli 14
5450	5450	SÜTLÜCE (Kâhmut) (Tüllük)	سودليجه	Köy	Köy			Pah>Mazgirt>Elâzığ		Pah	Mazgirt	Elâzığ	Nahiye (1865)	Nahiye	1865		Merkez>Tunceli			Merkez	Tunceli																																																				
5451	5451	SÜVEYDA (Cebeli Dür.z)	سويده	Kaza	Kaza			Havran>Suriye vilâyeti			Havran	Suriye vilâyeti																																																													
5452	5452	SÜVEYDİYE	سويديه	Nahiye (1517)	Nahiye	1517		Halep>Arap vilâyeti			Halep	Arap vilâyeti	Nahiye (1865)	Nahiye	1865		Antakya>Halep>Halep vilâyeti		Antakya	Halep	Halep vilâyeti	Kaza Mrk. (1939)	Kaza merkezi	1939		Samandağı>Hatay			Samandağı	Hatay																																											
5453	5453	SÜVEYŞ	سويش	Sancak (1686)	Sancak	1686		Mısır eyâleti				Mısır eyâleti	Kaza (1876)	Kaza	1876		Mısır eyâleti				Mısır eyâleti	Muhafızlık	Muhafızlık			Mısır hidiviyeti				Mısır hidiviyeti																																											
5454	5454	ŞABAÇ (Sabatz) (Böğürdelen)	شباچ	Kale (Sava nehri yakınlarında. Yaklaşık 1471’de fethedildi. 1717’de Avusturya’ya, 1739’da Osmanlıya, 1728’de Avusturya’ya, 1791’de Osmanlıya geçti. Sırp ihtilâli neticesinde 1806’da Kara Yorgi’ye teslim edildi.)	Kale		Sava nehri yakınlarında. Yaklaşık 1471’de fethedildi. 1717’de Avusturya’ya, 1739’da Osmanlıya, 1728’de Avusturya’ya, 1791’de Osmanlıya geçti. Sırp ihtilâli neticesinde 1806’da Kara Yorgi’ye teslim edildi.	Macaristan				Macaristan																																																													
5455	5455	ŞABAN	شعبان	Nahiye (1865)	Nahiye	1865		Kırcaali>Edirne>Edirne vilâyeti		Kırcaali	Edirne	Edirne vilâyeti	Nahiye (1913)	Nahiye	1913		Kırcaali>Bulgaristan			Kırcaali	Bulgaristan																																																				
5456	5456	ŞABANÖZÜ	شعبان اوزی	Kaza (1849)	Kaza	1849		Ankara>Bozok eyâleti			Ankara	Bozok eyâleti	Nahiye (1865)	Nahiye	1865		Merkez>Kengırı>Kastamonu vilâyeti		Merkez	Kengırı	Kastamonu vilâyeti	Kaza (1944)	Kaza	1944		Çankırı				Çankırı																																											
5457	5457	ŞABOLEZ	شابولز	Eyâlet (kontluk)	Eyâlet		kontluk	Macaristan				Macaristan																																																													
5458	5458	ŞADİ maa EĞİN	شادی مع اکين	Kaza (1846)	Kaza	1846		Harput-Malatya>Harput eyâleti			Harput-Malatya	Harput eyâleti																																																													
5459	5459	ŞAHAR	شحار	Kaza (1856)	Kaza	1856		Cebel-i Dürzi>Sayda eyâleti			Cebel-i Dürzi	Sayda eyâleti	Nahiye (1861)	Nahiye	1861		Şuf>Cebel-i Lübnan sancağı			Şuf	Cebel-i Lübnan sancağı																																																				
5460	5460	ŞAHİN	شاهين	Nahiye	Nahiye			Malkara>Tekirdağ			Malkara	Tekirdağ																																																													
5461	5461	ŞAHİN	شاهين	Nahiye (1865)	Nahiye	1865		Darıdere>Gümülcine>Edirne vilâyeti		Darıdere	Gümülcine	Edirne vilâyeti	Nahiye (1919)	Nahiye	1919		Darıdere>Gümülcine>Yunanistan		Darıdere	Gümülcine	Yunanistan																																																				
5462	5462	ŞAHİNBEY	شاهين بک	Kaza (~ 1990)	Kaza	~1990		Gaziantep				Gaziantep																																																													
5463	5463	ŞAHİNLER	شاهينلر	Nahiye (1865)	Nahiye	1865		Dedeağaç>Dedeağaç>Edirne vilâyeti		Dedeağaç	Dedeağaç	Edirne vilâyeti	Nahiye (1919)	Nahiye	1919		Dedeağaç>Yunanistan			Dedeağaç	Yunanistan																																																				
5464	5464	Şahnaçemen (ÇİÇEKÖZÜ)	شاهنه چمن	Nahiye (~1530)	Nahiye	~1530		Koyulhisar>Karahisar-ı Şarkî>Rum eyâleti		Koyulhisar	Karahisar-ı Şarkî	Rum eyâleti	Köy	Köy			Merkez>Koyulhisar>Sivas		Merkez	Koyulhisar	Sivas																																																				
5465	5465	ŞAHR	شحر	Kasaba	Kasaba			Hadramut				Hadramut																																																													
5466	5466	ŞAHVİK	شاهويک	Kaza Mrk. (1901)	Kaza merkezi	1901		Kolaşin-i Zîr>Seniçe>Kosova vilâyeti		Kolaşin-i Zîr	Seniçe	Kosova vilâyeti																																																													
5467	5467	ŞAKİF	شقيف	Nahiye (1517)	Nahiye	1517		Safed>Arap vilâyeti			Safed	Arap vilâyeti	Kaza (1855)	Kaza	1855		Bilâd-ı Bişara>Sayda eyâleti			Bilâd-ı Bişara	Sayda eyâleti	Kaza (1888)	Kaza	1888		Beyrut>Beyrut vilâyeti			Beyrut	Beyrut vilâyeti																																											
5468	5468	ŞAKLAVA	شقلاوه	Nahiye (1879)	Nahiye	1879		Köysancak>Şehrizor>Musul vilâyeti		Köysancak	Şehrizor	Musul vilâyeti																																																													
5469	5469	ŞALPAZARI (Kireç)	شالپازاری	Nahiye	Nahiye			Vakfıkebir>Trabzon			Vakfıkebir	Trabzon	Kaza (1998)	Kaza	1998		Trabzon				Trabzon																																																				
5470	5470	ŞAM	شام	Sancak (1517)	Sancak	1517		Arap vilâyeti				Arap vilâyeti	Eyâlet (1520)	Eyâlet	1520		Şam eyâleti				Şam eyâleti	Eyâlet (1832-1840)	Eyâlet	1832-1840		Mısır yönetimi				Mısır yönetimi	Vilâyet Mrk. (1865)	Vilâyet merkezi	1865		Suriye vilâyeti				Suriye vilâyeti	Başkent	Başkent			Suriye				Suriye																									
5471	5471	ŞAMAHİ (Nadir şah tarafından tahrip edilmiş, 1859’da depremden harap olmuş, sonra Tatarlar tarafından imar g.rmüş.)	شماخی	Başkent	Başkent			Şirvan hanlığı				Şirvan hanlığı	Kasaba	Kasaba			İran yönetimi				İran yönetimi	Kasaba (1578)	Kasaba	1578		Osmanlı yönetimi				Osmanlı yönetimi	Kasaba (1607)	Kasaba	1607		İran yönetimi				İran yönetimi	Kasaba (1806)	Kasaba	1806		Rusya yönetimi				Rusya yönetimi	Kaza (1884)	Kaza	1884		Bakü>Azerbaycan			Bakü	Azerbaycan																
5472	5472	ŞAMBAYAT	شامبيادی	Nahiye (1884)	Nahiye	1884		Besni>Malatya>Mamûretülaziz vilâyeti		Besni	Malatya	Mamûretülaziz vilâyeti	Nahiye (1926)	Nahiye	1926		Besni>Gaziantep			Besni	Gaziantep	Nahiye (1933)	Nahiye	1933		Besni>Malatya			Besni	Malatya	Nahiye (1954)	Nahiye	1954		Besni>Adıyaman			Besni	Adıyaman																																		
5473	5473	ŞAMİ maa FIRT	شامی مع فرط	Kaza (~1530)	Kaza	~1530		Karesi>Anadolu eyâleti			Karesi	Anadolu eyâleti	Kaza (1841)	Kaza	1841		Karesi>Hudavendigâr eyâleti			Karesi	Hudavendigâr eyâleti																																																				
5474	5474	Şamî (ŞAMLI)		Nahiye (1924)	Nahiye	1924		Merkez>Balıkesir			Merkez	Balıkesir																																																													
5475	5475	ŞAMİYE (Ümmülbarur)	شاميه	Kaza (1867)	Kaza	1867		Hille>Bağdad vilâyeti			Hille	Bağdad vilâyeti	Kaza	Kaza			Divaniye>Bağdad-Irak			Divaniye	Bağdad-Irak																																																				
5476	5476	ŞAMLI (Şami)	شاملی	Nahiye (1926)	Nahiye	1926		Merkez>Balıkesir			Merkez	Balıkesir																																																													
5477	5477	ŞAPHANE	شابخانه	Nahiye (1867)	Nahiye	1867		Gediz>Kütahya>Hudavendigâr vilâyeti		Gediz	Kütahya	Hudavendigâr vilâyeti	Nahiye (1924)	Nahiye	1924		Gediz>Kütahya			Gediz	Kütahya	Kaza (~ 1990)	Kaza	~1990		Kütahya				Kütahya																																											
5478	5478	ŞAPHANE	شابخانه	Nahiye (1865)	Nahiye	1865		Merkez>Gümülcine>Edirne vilâyeti		Merkez	Gümülcine	Edirne vilâyeti	Nahiye (1919)	Nahiye	1919		Merkez>Gümülcine>Yunanistan		Merkez	Gümülcine	Yunanistan																																																				
5479	5479	ŞARKIŞLA (Şehirkışla) (1328 ve 1928 salnamelerinde Şarkışla “Tonus” kazasının merkezidir.)	شارقشله	Kaza Mrk. (19.yy.)	Kaza merkezi	19. yy.		Tonus>Sivas>Sivas eyâleti		Tonus	Sivas	Sivas eyâleti	Kaza Mrk. (1865)	Kaza merkezi	1865		Tonus>Sivas>Sivas vilâyeti		Tonus	Sivas	Sivas vilâyeti	Kaza (1924)	Kaza	1924		Sivas				Sivas																																											
5480	5480	ŞARKÎ (Âmid-i Şarkî)	شرقی	Nahiye (16.yy.)	Nahiye	16. yy.		Merkez>Âmid>Diyarbakır eyâleti		Merkez	Âmid	Diyarbakır eyâleti	Nahiye (1912’de mevcut. Sonraları lağvedilmiş.)	Nahiye		1912’de mevcut. Sonraları lağvedilmiş.	Diyarbakır>Diyarbakır vilâyeti			Diyarbakır	Diyarbakır vilâyeti																																																				
5481	5481	ŞARKİKARAAĞAÇ (Yalvaç Karaağacı)	شرقی قره آغاج	Nahiye (~1530)	Nahiye	~1530		Yalvaç>Hamid>Anadolu eyâleti		Yalvaç	Hamid	Anadolu eyâleti	Kaza (1865)	Kaza	1865		Hamid>Konya vilâyeti			Hamid	Konya vilâyeti	Kaza (1924)	Kaza	1924		Isparta				Isparta																																											
5482	5482	ŞARKİPARE	شرقی پاره	Kaza	Kaza			Sivas>Sivas eyâleti			Sivas	Sivas eyâleti																																																													
5483	5483	ŞARKİYE (Zekâzik)	شرقيه	Sancak (Müdiriyet)	Sancak		Müdiriyet	Mısır eyâleti				Mısır eyâleti																																																													
5484	5484	ŞARKÖY	شارکوی	Kaza (1865)	Kaza	1865		Gelibolu>Edirne vilâyeti			Gelibolu	Edirne vilâyeti	Kaza (1924)	Kaza	1924		Tekirdağ				Tekirdağ																																																				
5485	5485	ŞARKÖY (Pirot)	شارکوی	Sancak (1877)	Sancak	1877		Kosova vilâyeti				Kosova vilâyeti	Sancak (1878)	Sancak	1878		Sırbistan>Yugoslavya			Sırbistan	Yugoslavya																																																				
5486	5486	ŞARLI	شارلی	Nahiye (1868)	Nahiye	1868		Vakfıkebir>Trabzon>Trabzon vilâyeti		Vakfıkebir	Trabzon	Trabzon vilâyeti	Nahiye Mrk. (1926)	Nahiye merkezi	1926		Beşikdüzü>Vakfıkebir>Trabzon		Beşikdüzü	Vakfıkebir	Trabzon	Kaza Mrk. (~1990)	Kaza merkezi	~1990		Beşikdüzü>Trabzon			Beşikdüzü	Trabzon																																											
5487	5487	ŞARVİ	شاروی	Kaza (1812)	Kaza	1812		Ruscuk>Silistre eyâleti			Ruscuk	Silistre eyâleti																																																													
5488	5488	Şatak (ÇATAK) (1943’te adı “Çatak” oldu.)	شتاق	Sancak (~1635)	Sancak	~1635		Van eyâleti				Van eyâleti	Kaza (1855)	Kaza	1855		Van>Van eyâleti			Van	Van eyâleti	Kaza (1865)	Kaza	1865		Van maa Hakkârî>Erzurum eyâleti			Van maa Hakkârî	Erzurum eyâleti	Kaza (1882)	Kaza	1882		Van>Van vilâyeti			Van	Van vilâyeti	Kaza (1924)	Kaza	1924		Van				Van																									
5489	5489	ŞATİ	شاطی	Kaza	Kaza			Fizan>Trablusgarb>Libya		Fizan	Trablusgarb	Libya																																																													
5490	5490	ŞATMAR	شاتمار	Eyâlet (kontluk)	Eyâlet		kontluk	Macaristan				Macaristan																																																													
5491	5491	ŞATRATÜ’L-AMÂRA	شطرة العماره	Kaza (1867)	Kaza	1867		Amâra>Basra>Irak		Amâra	Basra	Irak																																																													
5492	5492	ŞATRATÜLMÜNTEFİK	شطرة المنتفک	Kaza (1884)	Kaza	1884		Müntefik>Basra>Irak		Müntefik	Basra	Irak																																																													
5493	5493	ŞATTA	شطه	Kasaba	Kasaba			Dimyat>Mısır			Dimyat	Mısır																																																													
5494	5494	ŞATTÜLARAB	شط العرب	Nahiye (1884)	Nahiye	1884		Merkez>Basra>Basra vilâyeti		Merkez	Basra	Basra vilâyeti																																																													
5495	5495	ŞATTÜLMEKÂR (Hamisiye)	شط المکلر	Nahiye (1884)	Nahiye	1884		Şûkuşşüy.h>Müntefik>Basra vilâyeti		Sûkuşşüyûh	Müntefik	Basra vilâyeti																																																													
5496	5496	ŞAUR	شاعور	Kaza (1860)	Kaza	1860		Akka>Sayda eyâleti			Akka	Sayda eyâleti	Nahiye (1888)	Nahiye	1888		Merkez>Akka>Beyrut vilâyeti		Merkez	Akka	Beyrut vilâyeti																																																				
5497	5497	Şavak (AKDEMİR) (Abşeker)	شواق	Nahiye (1888)	Nahiye	1888		Pertek>Dersim>Mam.retülaziz		Pertek	Dersim	Mamûretülaziz	Nahiye (1927)	Nahiye	1927		Pertek>Elâzığ			Pertek	Elâzığ	Nahiye (1936)	Nahiye	1936		Pertek>Tunceli			Pertek	Tunceli																																											
5498	5498	ŞAVŞAT (Yeniköy)	شوشاد	Sancak (1578)	Sancak	1578		Çıldır eyâleti				Çıldır eyâleti	Kaza (1830)	Kaza	1830		Çıldır>Erzurum eyâleti			Çıldır	Erzurum eyâleti	Kaza (1878)	Kaza	1878		Çıldır>Rusya yönetimi			Çıldır	Rusya yönetimi	Kaza (1921)	Kaza	1921		Ardahan				Ardahan	Kaza (1921)	Kaza	1921		Artvin				Artvin																									
5499	5499	ŞAYAK (Shijak)	شياق	Kaza (1881)	Kaza	1881		Dıraç>İşkodra vilâyeti			Dıraç	İşkodra vilâyeti																																																													
5500	5500	ŞAYİBLÜ	شايبلو	Nahiye (Köylerinin çoğu şimdi Ulubey ilçesine bağlı. Ulubey’in “Şuayib=Güzelyurt k.yü var.)	Nahiye		Köylerinin çoğu şimdi Ulubey ilçesine bağlı. Ulubey’in “Şuayib=Güzelyurt k.yü var.	Ordu>Canik>Rum eyâleti		Ordu	Canik	Rum eyâleti																																																													
5501	5501	ŞEBAM	شبام	Nahiye (1871)	Nahiye	1871		Gökben>Yemen>Yemen vilâyeti		Gökben	Yemen	Yemen vilâyeti																																																													
5502	5502	ŞEBANİYE	شبانيه	Nahiye (1856)	Nahiye	1856		Cebel-i Nasara>Sayda eyâleti			Cebel-i Nasara	Sayda eyâleti																																																													
5503	5503	ŞEBEK	شبک	Nahiye (1865)	Nahiye	1865		Merkez>Musul>Van vilâyeti		Merkez	Musul	Van vilâyeti																																																													
5504	5504	ŞEBEŞ (Karanşebeş) (1788’de Koca Yusuf Paşa Alman ordusunu burada yendi.)	شبش	Sancak (1658)	Sancak	1658		Tımışvar eyâleti				Tımışvar eyâleti																																																													
5505	5505	ŞEBİNKARAHİSAR (Karahisar-ı Şarkî)	شبين قره حصار	Sancak (1473)	Sancak	1473		Rum eyâleti				Rum eyâleti	Sancak (1514)	Sancak	1514		Erzincan eyâleti				Erzincan eyâleti	Sancak (~1520)	Sancak	~1520		Rum eyâleti				Rum eyâleti	Sancak (1568)	Sancak	1568		Erzurum eyâleti				Erzurum eyâleti	Sancak (1805)	Sancak	1805		Trabzon eyâleti				Trabzon eyâleti	Sancak (1836)	Sancak	1836		Erzurum eyâleti				Erzurum eyâleti	Sancak (1845)	Trabzon eyâleti	Sancak (1865)	Sivas vilâyeti	Sancak (1914-1923)	Müstakil sancak	Vilâyet (1924)	Şebinkarahisar	Kaza (1933)	Giresun						
5506	5506	ŞEFA‘AMR	شفاعمر	Kaza (1660)	Kaza	1660		Akka>Sayda eyâleti			Akka	Sayda eyâleti	Nahiye (1888)	Nahiye	1888		Merkez>Akka>Beyrut vilâyeti		Merkez	Akka	Beyrut vilâyeti																																																				
5507	5507	ŞEFAATLİ	شفاعتلی	Nahiye (1874)	Nahiye	1874		Merkez>Yozgat vilâyeti			Merkez	Yozgat vilâyeti	Kaza (1954)	Kaza	1954		Yozgat				Yozgat																																																				
5508	5508	ŞEFİK	شفيق	Nahiye (1873)	Nahiye	1873		Ricalülma‘>Asir>Yemen vilâyeti		Ricalülma	Asir	Yemen vilâyeti																																																													
5509	5509	ŞEHBA	شهبا	Nahiye (1865)	Nahiye	1865		Amira>Havran>Suriye vilâyeti		Amira	Havran	Suriye vilâyeti																																																													
5510	5510	ŞEHİT KÂMİL	شهيد کامل	Kaza (~ 1990)	Kaza	~1990		Gaziantep				Gaziantep																																																													
5511	5511	ŞEHİT NUSRETBEY (Nusretiye) (Harapreşmenkuş)	شهيد نصرت بک	Nahiye (1865)	Nahiye	1865		Harran>Urfa>Halep vilâyeti		Harran	Urfa	Halep vilâyeti	Nahiye (1946)	Nahiye	1946		Akçakale>Şanlıurfa			Akçakale	Şanlıurfa																																																				
5512	5512	ŞEHR	شهر	Sancak (1569)	Sancak	1569		Yemen eyâleti				Yemen eyâleti																																																													
5513	5513	ŞEHR	شهر	Nahiye (1865)	Nahiye	1865		Merkez>Gümülcine>Edirne vilâyeti		Merkez	Gümülcine	Edirne vilâyeti	Nahiye (1919)	Nahiye	1919		Merkez>Gümülcine>Yunanistan		Merkez	Gümülcine	Yunanistan																																																				
5514	5514	ŞEHRÂBÂD	شهر آباد	Nahiye (16.yy.)	Nahiye	16. yy.		Merkez>K.Hisar-ı Sahib>Anadolu eyâleti		Merkez	Karahisar-ı Sahib	Anadolu eyâleti																																																													
5515	5515	ŞEHREMÂNETİ (1878’de İstanbul’un idaresi Şehremânetine verildi. Şehremâneti bu görevi kendine bağlı (10) adet belediye dairesiyle birlikte yürüttü. 1909’da İstanbul’da ilk defa vilâyet teşkil edildi. Vali-Şehremini arasında 1922 yılına kadar süren görev-yetki kargaşası yaşandı.)	شهر امانتی	İdari görevli belediye başkanlığı (1878)	İdari görevli belediye başkanlığı	1878		İstanbul				İstanbul																																																													
5516	5516	ŞEHRBAN	شهربان	Kaza (1852)	Kaza	1852		Horosan>Bağdad maa Şehrizor eyâleti			Horasan	Bağdad maa Şehrizor eyâleti	Nahiye (1867)	Nahiye	1867		Horasan>Bağdad>Bağdad vilâyeti		Horasan	Bağdad	Bağdad vilâyeti																																																				
5517	5517	ŞEHRPAZAR	شهربازار	Kaza (1855)	Kaza	1855		Süleymaniye>Bağdad maa Şehrizor eyâleti			Süleymaniye	Bağdad maa Şehrizor eyâleti	Kaza	Kaza			Süleymaniye>Musul>Irak		Süleymaniye	Musul	Irak																																																				
5518	5518	ŞEHRİZOR maa BAĞDAD	شهرزور مع بغداد	Eyâlet (1779)	Eyâlet	1779		Bağdad maa Şehrizor eyâleti				Bağdad maa Şehrizor eyâleti																																																													
5519	5519	ŞEHRİZOR	شهرزور	Sancak (1865)	Sancak	1865		Bağdad eyâleti				Bağdad eyâleti	Sancak (1879)	Sancak	1879		Musul vilâyeti				Musul vilâyeti																																																				
5520	5520	ŞEKADRA	شقادره	Nahiye (1871)	Nahiye	1871		Hicce>Yemen>Yemen vilâyeti		Hıcce	Yemen	Yemen vilâyeti																																																													
5521	5521	ŞEKBU maa REVANDİZ	شکبو مع رواندز	Kaza (1855)	Kaza	1855		Revandiz>Bağdad maa Şehrizor eyâleti			Revandiz	Bağdad maa Şehrizor eyâleti																																																													
5522	5522	ŞEKERLİ (Karacaviran)	شکرلی	Nahiye	Nahiye			Siverek>Şanlıurfa			Siverek	Şanlıurfa																																																													
5523	5523	ŞEKEROBA	شکر اوبه	Nahiye (1866)	Nahiye	1866		Merkez>Maraş>Halep vilâyeti		Merkez	Maraş	Halep vilâyeti	Köy	Köy			Merkez>Türkoğlu>Kahramanmaraş		Merkez	Türkoğlu	Kahramanmaraş																																																				
5524	5524	Şelmo (BEKİRHAN) (Milikan)	شلمو	Köy	Köy			Merkez>Beşiri>Siirt		Merkez	Beşiri	Siirt	Nahiye	Nahiye			Kozluk>Siirt			Kozluk	Siirt																																																				
5525	5525	ŞEMAMİK	شمامک	Sancak (1830)	Sancak	1830		Şehrizor eyâleti				Şehrizor eyâleti	Nahiye (1879)	Nahiye	1879		Erbil>Kerkük>Musul vilâyeti		Erbil	Kerkük	Musul vilâyeti																																																				
5526	5526	ŞEMAR	شمار	Nahiye (1861)	Nahiye	1861		Şuf>Cebel-i Lübnan sancağı			Şuf	Cebel-i Lübnan sancağı																																																													
5527	5527	ŞEMDİNLİ (Şemdinan) (Nehri)	شمديان	Kaza (1888)	Kaza	1888		Hakkâri>Van vilâyeti			Hakkâri	Van vilâyeti	Kaza (1935)	Kaza	1935		Hakkâri				Hakkâri																																																				
5528	5528	ŞEMİKAN	شمکان	Nahiye (1865)	Nahiye	1865		Merkez>Musul>Van eyâleti		Merkez	Musul	Van eyâleti																																																													
5529	5529	ŞEMİTİYE	شميطيه	Nahiye (1882)	Nahiye	1882		Zor>Zor sancağı			Zor	Zor sancağı																																																													
5530	5530	ŞEMSEDDİN EL-İMAM	شمس الدين الامام	Sancak (1586)	Sancak	1586		Yemen eyâleti				Yemen eyâleti																																																													
5531	5531	ŞEMSEKEYN	شمسکين	Nahiye (1865)	Nahiye	1865		Ezra‘>Havran>Suriye vilâyeti		Ezra‘	Havran	Suriye vilâyeti																																																													
5532	5532	ŞEMSİTAR	شمسطار	Nahiye (1861)	Nahiye	1861		Kisrevan>Cebel-i Lübnan sancağı			Kisrevan	Cebel-i Lübnan sancağı																																																													
5533	5533	ŞEMSİYAT	شمسيات	Nahiye (1888)	Nahiye	1888		Cebele>Lazkiye>Beyrut vilâyeti		Cebele	Lazkiye	Beyrut vilâyeti																																																													
5534	5534	ŞENDİ (Dâr-ı Şendi)	شندی	Kasaba	Kasaba			Mısır				Mısır																																																													
5535	5535	ŞENGİN	شنکين	Nahiye (1881)	Nahiye	1881		Merkez>İşkodra>İşkodra vilâyeti		Merkez	İşkodra	İşkodra vilâyeti																																																													
5536	5536	ŞENKAYA (Kosor=Akçay nahiyesi bölgesinde kuruldu. Bu nahiye de şimdi Şenkaya’ya bağlandı.)	شن قيا	Nahiye	Nahiye			Oltu>Erzurum			Oltu	Erzurum	Kaza (1946)	Kaza	1946		Erzurum				Erzurum																																																				
5537	5537	ŞENKÖY	شن کوی	Nahiye	Nahiye			Merkez>Hatay			Merkez	Hatay																																																													
5538	5538	ŞENPAZAR (Kuztekke) (Şarbana)	شن پازار	Köy	Köy			Merkez>Cide>Kastamonu		Merkez	Cide	Kastamonu	Nahiye	Nahiye			Cide>Kastamonu			Cide	Kastamonu	Kaza (~ 1990)	Kaza	~1990		Kastamonu				Kastamonu																																											
5539	5539	ŞENYURT (Kisha=Uncular)	شن يورد	Nahiye	Nahiye			Tortum>Erzurum			Tortum	Erzurum																																																													
5540	5540	ŞENYURT	شن يورد	Nahiye	Nahiye			Kızıltepe>Mardin			Kızıltepe	Mardin																																																													
5541	5541	ŞER‘AB (Türbetülfahm)	شرعب	Nahiye (1873)	Nahiye	1873		Merkez>Taizz>Yemen vilâyeti		Merkez	Taizz	Yemen vilâyeti																																																													
5542	5542	Şerah (UZUNGÖL)	شراح	Köy	Köy			Merkez>Of>Trabzon		Merkez	Of	Trabzon	Nahiye	Nahiye			Çaykara>Trabzon			Çaykara	Trabzon																																																				
5543	5543	ŞERBETEYN	شربتين	Nahiye (1889)	Nahiye	1889		Erganimadeni>Diyarbakır vilâyeti			Erganimadeni	Diyarbakır vilâyeti																																																													
5544	5544	ŞERÇE	شرچه	Şehir	Şehir			Umman				Umman																																																													
5545	5545	ŞEREFAN	شرفان	Nahiye (1865)	Nahiye	1865		Merkez>Musul>Van eyâleti		Merkez	Musul	Van eyâleti																																																													
5546	5546	ŞEREFİYE (Dereköy)	شرفيه	Nahiye	Nahiye			Zara>Sivas			Zara	Sivas																																																													
5547	5547	ŞEREFLİKOÇHİSAR	شرفلی قوچ حصار	Kaza (~1530)	Kaza	~1530		Aksaray>Karaman eyâleti			Aksaray	Karaman eyâleti	Kaza (1865)	Kaza	1865		Konya>Konya vilâyeti			Konya	Konya vilâyeti	Kaza (1924)	Kaza	1924		Aksaray				Aksaray	Kaza (1933)	Kaza	1933		Ankara				Ankara																																		
5548	5548	ŞEREŞ ve BENİ MANSUR	شرش وَ بنی منصور	Nahiye (1875)	Nahiye	1875		Kurna>Basra>Basra vilâyeti		Kurna	Basra	Basra vilâyeti																																																													
5549	5549	ŞERSO (Cherso)	شرسو	Ada (Adriyatik denizinde.)	Ada		Adriyatik denizinde.	Avusturya-Macaristan				Avusturya-Macaristan																																																													
5550	5550	ŞERŞEL	شرشل	Kasaba	Kasaba			Cezayir				Cezayir																																																													
5551	5551	ŞERVİ	شروی	Kaza (16.yy.)	Kaza	16. yy.		Van>Van eyâleti			Van	Van eyâleti																																																													
5552	5552	Şetek (SARIKONAK) (Duhan)	شطک	Nahiye (1878)	Nahiye	1878		Merkez>Bitlis>Bitlis vilâyeti		Merkez	Bitlis	Bitlis vilâyeti	Nahiye (1935)	Nahiye	1935		Merkez>Bitlis			Merkez	Bitlis																																																				
5553	5553	Şeteri (DAĞYOLU)	شتری	Nahiye (1915)	Nahiye	1915		Kuzucan>Erzincan>Erzurum vilâyeti		Kuzucan	Erzincan	Erzurum vilâyeti	Nahiye (1926)	Nahiye	1926		Pülümür>Erzincan			Pülümür	Erzincan	Nahiye (1936)	Nahiye	1936		Pülümür>Tunceli			Pülümür	Tunceli																																											
5554	5554	ŞEVAN	شوان	Nahiye (1879)	Nahiye	1879		Kerkük>Şehrizor>Musul vilâyeti		Kerkük	Şehrizor	Musul vilâyeti																																																													
5555	5555	ŞEVATIYE	شواطيه	Kaza (1779)	Kaza	1779		Bağdad>Bağdad maa Şehrizor eyâleti			Bağdad	Bağdad maa Şehrizor eyâleti																																																													
5556	5556	ŞEVİR (Şuveyr)	شوير	Nahiye (1861)	Nahiye	1861		Metin>Cebelilübnan sancağı			Metin	Cebel-i Lübnan sancağı																																																													
5557	5557	ŞEVKETİYE	شوکتيه	Nahiye	Nahiye			Manyas>Balıkesir			Manyas	Balıkesir																																																													
5558	5558	ŞEYH ALİ KÂSUN	شيج علی کاسون	Nahiye (1902)	Nahiye	1902		Selimiye>Hama>Suriye vilâyeti		Selimiye	Hama	Suriye vilâyeti																																																													
5559	5559	ŞEYHAN	شيخان	Nahiye (19.yy.)	Nahiye	19. yy.		Savur>Mardin>Diyarbakır eyâleti		Savur	Mardin	Diyarbakır eyâleti																																																													
5560	5560	ŞEYHAN	شيخان	Nahiye (1830)	Nahiye	1830		Köysancak>Kerkük>Bağdad maa Şehrizor eyâleti		Köysancak	Kerkük	Bağdad maa Şehrizor eyâleti																																																													
5561	5561	ŞEYHANLU	شيخانلو	Kaza (1849)	Kaza	1849		Ankara>Bozok eyâleti			Ankara	Bozok eyâleti																																																													
5562	5562	ŞEYHAN maa SERKEND	شيخان مع سرکند	Kaza (1855)	Kaza	1855		Musul>Van eyâleti			Musul	Van eyâleti																																																													
