ABADAN ,عبادان,Şehir#Şehir#Basra#İran (1847) (Erzurum Antlaşmasıyla İran’a verildi.)#
ŞEVAN ,شوان ,Nahiye (1879) KerkükŞehrizorMusul vilâyeti#
ŞEVATIYE ,شواطيه ,Kaza (1779) BağdadBağdad maa Şehrizor eyâleti#
ŞEVİR (Şuveyr) ,شوير ,Nahiye (1861) MetinCebelilübnan sancağı#
ŞEVKETİYE ,شوکتيه ,Nahiye ManyasBalıkesir#
ŞEYH ALİ KÂSUN ,شيج علی کاسون ,Nahiye (1902) SelimiyeHamaSuriye vilâyeti#
ŞEYHAN ,شيخان ,Nahiye (19.yy.) SavurMardinDiyarbakır eyâleti#
ŞEYHAN ,شيخان ,Nahiye (1830) KöysancakKerkükBağdad maa Şehrizor eyâleti#
ŞEYHANLU ,شيخانلو ,Kaza (1849) AnkaraBozok eyâleti#
ŞEYHAN maa SERKEND ,شيخان مع سرکند ,Kaza (1855) MusulVan eyâleti#
ŞEYHAN ,شيخان ,Nahiye (1879) MerkezMusulMusul vilâyeti#
ŞEYHBEZENLİ (Şıhbızınlı) ,شيخ بزنلی ,Nahiye (Lağvedildi) HaymanaAnkaraAnkara vilâyeti#
ŞEYHCUMA ,شيخ جمعه ,Nahiye (1865)#Nahiye (1919)#MerkezGümülcineEdirne vilâyeti#MerkezGümülcineYunanistan,#,,
ŞEYHDAVDAN ,شيخ داودان ,Nahiye (Silvan Bağdere#bucağının Kasımlı k.yüne#bağlı mezraa.)#SilvanDiyarbakırDiyarbakır vilâyeti#
Şeyhhacı (YUKARIBAĞ) ,شيخ حاجی ,Nahiye (1877)#Köy#HarputMam.retülazizMam.retülaziz#İçmeMerkezElâzığ#
ŞEYHULHADİD ,شيخ الحديد ,Nahiye (17.yy.) MerkezAntakyaHalep eyâleti#
ŞEYHHALİL ,شيخ خليل ,Nahiye (1865)#Köy#YıldızeliSivasSivas vilâyeti#BelcikYıldızeliSivas#
ŞEYH İSMAİL TAİFESİ ,شيخ اسماعيل طائفه سی ,Nahiye (1879) GülanberSüleymaniyeMusul vilâyeti#
Şeyhler (KAYNARCA) (Hoca) ,شيخلر ,Kaza (1855)#Nahiye (1924)#Kaza (1959)#KocaeliHudavendigâr eyâleti#KandıraKocaeli#Sakarya#
ŞEYHLER maa ŞİKAKİ ,شيخلر مع شکاکی ,"Kaza (Lağvedilmiş, köyleri#şimdi İslahiye merkez#bucağına bağlı.)#KilisHalep eyâleti#"
ŞEYHLİ (Şıhlı) ,شيخلو ,Nahiye (1865)#Köy#Nahiye#LâdikAmasyaSivas vilâyeti#KaraabdalHavzaSamsun#LâdikSamsun#
ŞEYHLÜ(Çivril’in Koçak k.yü civarında idi.) ,شيخلو ,Nahiye (1530)#Nahiye (1867)#DenizliKütahyaAnadolu eyâleti#SandıklıK.Hisar-ı SahibHudavendigâr vilâyeti#
ŞEYH MEYDAN maa ŞİMRAN ,شيخ ميدان مع شيمران ,Kaza (1855) SüleymaniyeBağdad maa Şehrizor eyâleti#
ŞEYHMİREZBAN ,شيخ مرزبان ,Nahiye (1865) KoçkiriSivasSivas vilâyeti#
ŞEYH MİSKİN ,شيخ مسکين ,Kaza (1865) HavranSuriye vilâyeti,#,,
ŞEYHMUSTAFA ,شيخ مصطفی ,Nahiye (1865)#Köy#Mecit.züAmasyaSivas vilâyeti#MerkezMerkezÇorum#
ŞEYHSAİD ,شيخ سعيد ,Sancak Mrk. ( 1860)#Köy#HavranSuriye vilâyeti#MerkezHavranHavranSuriye#
ŞIHLAR (Kulakkaya) ,شيخلر ,Nahiye (1865)#Nahiye Mrk.#Nahiye Mrk. (1924)#MerkezK.Hisar-ı ŞarkîSivas vilâyeti#YavuzkemalGiresunTrabzon vilâyeti#YavuzkemalDereliGiresun#
Şıhraş (KIZILSU) ,شيخ رش ,Nahiye (1948)#Nahiye (1990)#ŞirnakSiirt#Şirnak#
ŞIRNAK (Şırnah) ,شرناق ,Kaza (1880)#Kaza (1924)#Vilâyet (1990)#SiirtBitlis vilâyeti#Siirt#Şırnak#
ŞİAR ve HAVLE ,شعار وَ حواله ,Kaza (17.yy.) ŞamŞam eyâleti#
ŞİBÎNÜ’L-KAVM ,شبين القوم ,Müdiriyet Mrk. MenufiyeMısır eyâleti#
ŞİFATİYE ,شفاتيه ,Nahiye (1867) MerkezKerbelâBağdad vilâyeti#
ŞİHABÜDDİN ,شهاب الدين ,Kaza (1841) ViranşehirKastamonu eyâleti#
Şikefti (ALBAYRAK) ,شکفتی ,Nahiye (1882)#Nahiye (1924)#BaşkaleHakkâriVan vilâyeti#BaşkaleVan#
ŞİLE ,شيله ,Kaza (1530)#Kaza (1879)#Kaza (1909)#KocaeliAnadolu eyâleti#Şehremâneti#İstanbul#
Şimiz (OĞUZ) ,شمز ,Nahiye BeşiriSiirt#
ŞİMONTORNA (Smontornya) ,شمنطورنه ,Sancak (1543)#Sancak (1686)#Budin eyâleti#Macaristan#
ŞİMRAN maa ŞEYH MEYDAN ,شمران مع شيخ ميدان ,Kaza (1855) SüleymaniyeBağdad maa Şehrizor eyâleti,#,,
ŞİNAFİYE (Şitafiye) ,شنافيه ,Nahiye (1852) ŞamiyeDivaniyeBağdad eyâleti#
ŞİNEK ve KALALE ,شينک وَ قلاله ,Nahiye (1855) MerkezSüleymaniyeBağdad maa Şehrizor eyâleti#
ŞİRAN (Karaca) ,شيران ,Nahiye (1530)#Kaza (16.yy.)#Kaza (1870)#Kaza (1924)#MerkezK.Hisar-ı ŞarkîRum eyâleti#ErzurumErzurum eyâleti#GümüşhaneTrabzon vilâyeti#Gümüşhane#
"ŞİRE (Syra, Seyras) ",شيره ,Ada (Kiklada adalarından.) Yunanistan#
ŞİREVÎ ,شيره وی ,Sancak (18.yy.) Van eyâleti#
ŞİRİZ ,شيريز ,Nahiye merkezi AkşarHizanBitlis#
ŞİRVAN (Şamahi) (Merkezi olan Şamahi halen Bakü’ye bağlı bir kazadır.) ,شيروان ,Hanlık#Eyâlet#Eyâlet (1578)#Eyâlet (1604)#Eyâlet (1806)#Bölge#Şirvan hanlığı#İran yönetimi#Şirvan eyâleti#İran yönetimi#Rusya yönetimi#Azerbaycan#
ŞİRVAN (Küfre) ,شيروان ,Kaza (16.yy.)#Sancak (1597)#Kaza (1884)#Kaza (1924)#SiirtDiyarbakır eyâleti#Van eyâleti#SiirtBitlis vilâyeti#Siirt# 
ŞİRVAN,شيروان ,Nahiye (1879) RevandizŞehrizorMusul vilâyeti#
ŞİRVANLU maa CEBEL-İ SEM’AN ,شيروانلو مع جبل سمعان ,Nahiye (16.yy.) MerkezHalepHalep eyâleti#
ŞİŞLİ ,شيشلی ,Kaza (1954) İstanbul,#,,
ŞİTAFİYE ,شتافيه ,Nahiye (1867) ŞamiyeDivaniye:Bağdad vilâyeti#
Şivelân (BAĞIŞLI) (Hazekyan) ,شوه لان ,Nahiye (1924)#Nahiye (1926)#BaşkaleVan#MerkezHakkâri#
ŞİZAR ,شيزار ,Nahiye (1517)#Kasaba#HalepArap vilâyeti#HamaSuriye vilâyeti#
ŞOBEK ,شوبک ,"Nahiye (1517)#Sancak (16,17. yy.)#Nahiye (1865)#SalhadAclun Arap vilâyeti#Şam eyâleti#MaanKerekSuriye vilâyeti#"
ŞOGAYN (Aşkale o zaman bu kaza hudutları içinde idi. Aşkale’nin halen Şoğik (Özler) k.yü var. Erzurum da başlangıçta nahiye olarak bu kazaya bağlı idi.) ,شغين ,Nahiye (1516)#Kaza (1520)#BayburtBayburtRum eyâleti#BayburtDiyarbakır eyâleti#
Şorba (PAZAR) (Alidedeşıhları) ,شوربا ,Nahiye (19.yy.)#Nahiye#YabanâbâdAnkaraAnadolu eyâleti#KızılcahamamAnkara#
Şoregil (Şöregel) (AKYAKA) (Kızılçakçak) ,شوره کل ,Sancak (17. yy.)#Sancak (1800)#Kaza (1846)#Nahiye (1926)#Van eyâleti#Kars eyâleti#KarsErzurum eyâleti#ArpaçayKars#
Şotik (ÇOBANDERE) ,شوتيک ,Nahiye (1877)#Nahiye (1924)#Köy#ArapkirMam.retülazizMam.retülaziz vilâyeti#ArapkirMalatya#YoncalıArguvanMalatya#
ŞUARÂVİYYE-İ GARBİYYE ,شعراويهء غربيه ,Kaza (1634)#Nahiye (1888)#NablusSayda eyâleti#Benisa’bBelkaBeyrut vilâyeti#
ŞUARÂVİYYE-İ ŞARKİYYE ,شعراويهء شرقيه ,Nahiye (1888) CeninLazkiyeBeyrut vilâyeti#
Şucâeddin (ULUKIŞLA) ,شجاع الدين ,Kaza (18.yy.)#Nahiye (1864)#Kaza (1924)#NiğdeKaraman eyâleti#MerkezNiğdeKonya vilâyeti#Niğde,#,,
ŞUF (Cedide) ,شوف ,Nahiye (1517)#Kaza (1856)#Kaza (1861)#ŞamArap vilâyeti#CebelidürziSayda eyâleti#Cebelilübnan sancağı#
ŞUFAR ,شفار ,Ada (Basra körfezinde.) BasraIrak#
ŞUFEYN ,شوفين ,Nahiye (1861) ŞufCebelilübnan sancağı#
ŞUHUT ,شهود ,Kaza (1530)#Kaza (1841)#Nahiye (1884)#Kaza (1946)#K.Hisar-ı SahibAnadolu eyâleti#K.Hisar-ı SahibHudavendigâr eyâleti#MerkezK.Hisar-ı SahibHudavendigâr#Afyonkarahisar#
ŞUMAR ,شومر ,Nahiye (1902) SaydaBeyrutBeyrut vilâyeti#
ŞUMNU (Şumen) ,شمنو ,Sancak (1851)#Vilâyet Mrk. (1864)#Vilâyet Mrk. (1877)#Vilâyet (1908)#Silistre eyâleti#Tuna vilâyeti#Varna vilâyeti#Bulgaristan#
ŞUNFUKİ ,شونفوکی ,Eyâlet (kontluk) Macaristan#
ŞURE maa BUCAK ,شوره مع بوجاق ,Kaza (1846) Malatya-HarputHarput eyâleti#
ŞURE ,شوره ,Nahiye (Pütürge’nin Doğanyol#bucağı bölgesinde idi.)#KâhtaGerger maa KâhtaRum eyâleti#
ŞUŞA ,شوشه ,Başkent (1724-1814)#Kaza#Karabağ (Aran) hanlığı#GenceAzerbaycan#
ŞUVİRUN ,شويرون ,Eyâlet (kontluk) Macaristan#
Taban (TABANKÖY) ,طبان ,Nahiye#Köy#GönenBalıkesir#MerkezYeniceÇanakkale,#,,
TABANLI (Aşiret-i Tabanlı) ,طبانلی ,Kaza (1841)#Kaza (1849)#Nahiye (1912’de mevcut idi.#Sonraları lağvedilmiş.)#AnkaraAnkara eyâleti#AnkaraBozok eyâleti#BâlâAnkaraAnkara vilâyeti#
TABERİYE ,طبريه ,Nahiye (1517)#Kaza (1660)#Kaza (1865)#Kaza (1888)#SafedArap vilâyeti#AkkaSayda eyâleti#AkkaSuriye vilâyeti#AkkaBeyrut vilâyeti#
TABİYE ,طابيه ,Nahiye (18.yy.) SirtHumusTrablusgarb#
TABRAKA ,طبرقه ,Kasaba Tunus#
TACURA ,تاجوره ,Nahiye MerkezTrablusgarbLibya#
TAFİLE ,طفيله ,Kaza (1865) KerekSuriye vilâyeti#
TAFLAN ,تفلان ,Nahiye MerkezSamsun#
Tahir (ARGUVAN) ,طاهر ,Nahiye (1873)#Nahiye (1924)#Kaza (1954)#KebanMam.retülazizMam.retülaziz#MerkezMalatya#Malatya#
TAHİR ,طاهر ,Nahiye (1938) EleşkirtAğrı#
TAHMASİYE ,طهماسيه ,Kaza (1851) DivaniyeBağdad maa Şehrizor eyâleti#
TAHRET (Tiaret) ,تاهرت ,Kasaba VehranCezayir#
TAHTA ,طحطا ,Kaza CircaMısır#
TAHTAKÖPRÜ ,تخته کوپری ,Nahiye İnegölBursa,#,,
TAHTATTARİK ,تحت الطريق ,Nahiye (1530)#Kaza (1590)#İskilipÇorumRum eyâleti#ÇorumRum eyâleti#
TAHTATTARİK maa FEVKATTARİK ,تحت الطريق مع فوق الطريق ,Kaza (1847) Çorum-AmasyaSivas eyâleti#
TAİF ,طائف ,Kaza (1855)#Kasaba (1876)#Şehir#MekkeHabeş eyâleti#MekkeMekkeHicaz vilâyeti#S.Arabistan#
TA‘İZZ ,تعز ,Sancak (1545)#Eyâlet Mrk. (1560)#Sancak (1873)#Vilâyet (1899)#Yemen eyâleti#Yemen eyâleti#Yemen eyâleti#Taizz vilâyeti#
TAKA (Kessale) ,طاقه ,Müdiriyet Sudan-ı MısrîMısır#
Takmak (EŞME) (Elvanyar) ,طاقماق ,Kaza (1865)#Kaza (1924)#Kaza (1953)#ManisaAydın vilâyeti#Manisa#Uşak#
TALANTİ ,تالانتی ,Kasaba (Ağrıboz adaları#yakınında.)#Yunanistan#
TALAS ,طلاس ,Nahiye#Kaza ( 1990)#MerkezKayseri#Kayseri#
TAMAN (Halbinsel Taman) (Yarımada. Kafkasya’nın batı uzantısına verilen ad. Azak denizine açılan boğaza da aynı ad verilir.) ,طمان ,Sancak (17.yy.) Kefe eyâleti#
TAMRAŞ ,طمراش ,Nahiye (1867) RupçozDramaSelânik vilâyeti#
TAMZARA ,تمزره ,Nahiye (1865)#Mahalle#MerkezK.Hisar-ı ŞarkîSivas vilâyeti#İlçe merkeziŞebinkarahisar#
TANIR ,طانور ,Köy#Nahiye#AfşinElbistanMaraş#AfşinKahramanmaraş,#,,
TANTA ,طنطه ,Müdiriyet Mrk. GarbiyeMısır hıdiviyeti#
TANTURA ,طانطوره ,Köy (Finikeliler ve Romalılar#tarafından tahrip edilmiş tarihî#bir şehir.)#YafaKudüsFilistin#
TANYERİ (Selepür) ,طان يری ,Nahiye (1865)#Nahiye (1924)#Nahiye (1990)#MerkezErzincanErzurum vilâyeti#MerkezErzincan#.zümlüErzincan#
Tanzi (KAVAKÖZÜ) ,طانزی ,Köy (Tarihi bir k.ydür. Hz.#Ömer zamanında fethinden önce#burası bir hük.met merkezi#imiş.)#BağgözeEruhSiirt#
TAPAN (Kırıkuşağı) ,طپان ,Nahiye (Lağvedildi. Köyleri#merkez bucağına bağlandı.)#FekeAdana#
TARAKLI ,طراقلی ,Nahiye (1878)#Nahiye (1924)#Nahiye (1854)#Kaza ( 1990)#Geyveİzmit sancağı#GeyveKocaeli#GeyveSakarya#Sakarya#
Taraklıborlu (Borlu) (Zağferanbolu) (SAFRANBOLU) ,طراقلی بورلی ,Kaza (1530)#Kaza (1841)#Kaza (1865)#Kaza (1924)#Kaza (1995)#BoluAnadolu eyâleti#ViranşehirKastamonu eyâleti#KastamonuKastamonu vilâyeti#Zonguldak#Karabük#
TARAKSU (Gölyurt) ,طراقسو ,Nahiye (1875)#Nahiye (1924)#Nahiye (1954)#PütürgeMam.retülazizMam.retülaziz vilâyeti#PütürgeMalatya#GergerAdıyaman#
TARALAT ,ترالات ,Sancak (1578) Çıldır eyâleti#
TARAN ,تاران ,Ada (Kızıldenizde Akabe#körfezi girişinde.)#S. Arabistan#
TARATUR maa SÜRÜCEK ,طراتور مع سروجک ,Kaza (1855) SüleymaniyeBağdad maa Şehrizor eyâleti
TARHALA ,ترحاله ,Kaza (1530) HudavendigârAnadolu eyâleti#
TARHALA maa SOMA ,ترحاله مع صوما ,Kaza (1847) KaresiHudavendigâr eyâleti#
Tarhala (DARKALE) Altınlı ,ترحاله ,Köy MerkezSomaManisa#
TARHANYAT ,ترخانيات ,"Nahiye (Tarhanyat’ın Ahihızır,#Bazarbaşı, Camiikebir,#Menemenli ve Nasrullah#mahalleri şimdi Menemen ilçe#merkezinde birer mahalledir.)#MenemenSaruhanAnadolu eyâleti#"
TARHÛ (Semender) ,تارخو ,Kasaba (Bender’in kuzeyinde#ve Kalmuk hanlarının merkezi#idi.)#DağıstanKafkasya#
TARHÛNE ,تارخونه ,Kaza TrablusgarbTrablusgarbLibya#
Tarîk-ı Horasan (HORASAN) (Bakuba) ,طريق خراسان ,Sancak (1779)#Kaza (1867)#Bağdad maa Şehrizor eyâleti#BağdadBağdad vilâyeti#
TARİM (Terim) ,تاريم ,Kasaba Hadramut#
TARKO (Dargo) ,تارقو ,Hanlık DağıstanRusya#
TARNOPOL ,تارنوپول ,Sancak GaliçyaAvusturya-Macaristan#
TARNOW ,تارنوف ,Kaza#Kaza#GaliçyaAvusturya-Macaristan#GaliçyaPolonya#
TARRÂNE ,طرانه ,Sancak (1520)#Kaza (1590-1591)#Sancak (1744)#Mısır eyâleti#BuhayraMısır eyâleti#Mısır eyâleti,#,,
TARSUS ,طرسوس ,Sancak (1517)#Sancak (1571)#Sancak (1608)#Sancak (1732)#Sancak (1865)#Sancak (1866)#Kaza (1890)#Kaza (1933)#Kaza (2005)#Arap vilâyeti#Kıbrıs eyâleti#Adana eyâleti#Kıbrıs eyâleti#Halep vilâyeti#Adana vilâyeti#MersinAdana vilâyeti#İçel#Mersin#
TARTUS ,طرطوس ,Nahiye (1517)#Kaza (1847)#Kaza (1888)#TrablusArap vilâyeti#TrablusşamSayda eyâleti#TrablusşamBeyrut vilâyeti#
Taşâbâd (TAŞOVA) (Yemişenbükü) ,طاش آباد ,Nahiye (1530)#Nahiye (1865)#Kaza (1944)#Kaza (1953)#SonisaSonisa-NiksarRum eyâleti#ErbaaTokatSivas vilâyeti#Tokat#Amasya#
TAŞAĞIL ,طاش آغيل ,Nahiye Mrk. KaracaoğlanBabaeskiKırklareli#
TAŞAĞIL ,طاش آغيل ,Nahiye (1915) ManavgatAntalya#
TAŞBURUN (Cennetâbâd) ,طاش برون ,Nahiye#Nahiye (1995)#IğdırKars#KarakoyunluIğdır#
TAŞÇI ,طاشجی ,Nahiye Mrk. BakırdağıDeveliıKayseri#
TAŞDELEN (Mutmur) ,طاش دلن ,Nahiye (1877)#Nahiye (1924)#ArapkirMam.retülazizMam.retülaziz vilâyeti#ArapkirMalatya#
TAŞİL (Kâhta’nın Akıncılar ve Narince bucağı bölgesinde.) ,طاش ايل ,Nahiye (1530) GergerGerger-KâhtaRum eyâleti#
TAŞİLİ ,طاش ايلی ,Nahiye (1530) EdincikHudâvendigârAnadolu eyâleti#
TAŞİR ,طاشير ,Sancak ( 1600) Çıldır eyâleti
TAŞKENT (Pirluganda) ,طاش کند ,Nahiye#Kaza ( 1990)#HadımKonya#Konya#
TAŞKESEN ,طاش کسان ,Nahiye#Köy#HınısErzurum#MerkezTekmanErzurum#
TAŞKÖPRÜ ,طاش کوپری ,Kaza (1841)#Kaza (1865)#Kaza (1924)#KastamonuAnadolu eyâleti#KastamonuKastamonu vilâyeti#Kastamonu#
TAŞKÖPRÜ ,طاش کوپری ,Köy#Nahiye Mrk.#MerkezMerkezEskişehir#HekimdağMerkezEskişehir#
TAŞKÖPRÜ (Karayakuplu) ,طاش کوپری ,Nahiye (Lağvedilmiş.) GebzeKocaeli#
TAŞLI ,طاشلی ,Nahiye (1865)#Nahiye (1919)#SultanyeriGümülcineEdirne vilâyeti#SultanyeriGümülcineYunanistan#
TAŞLICA (Pljevlja) ,طاشليجه ,Sancak (1866)#Sancak (1880)#Sancak (1913)#Sancak#Bosna vilâyeti#Kosova vilâyeti#Sırbistan#Karadağ C.Yugoslavya#
TAŞLIÇAY ,طاشلی چای ,Nahiye (1925)#Nahiye (1938)#Kaza (1954)#DiyadinBayazıt#DiyadinAğrı#Ağrı#
TAŞOVA (Taşâbâd) (Yemişenbükü) ,طاش اووه ,Nahiye (1530)#Nahiye (1865)#Kaza (1944)#Kaza (1953)#SonisaSonisa-NiksarRum eyâleti#ErbaaTokatSivas vilâyeti#Tokat#Amasya#
TAŞOZ (Thasos) (Volgaro) ,طاشوز ,Sancak (1555)#Sancak (1902)#Sancak (1913)#Cezayir-i Bahr-i Sefîd eyâleti#Selânik vilâyeti#Yunanistan#
TAŞPINAR ,طاش پيکار ,Nahiye#Nahiye (1989)#AksarayNiğde#MerkezAksaray#
Taşrumi (DORUTAY) ,طاش رومی ,Nahiye#Nahiye (1848)#SarayVan#ÖzalpVan,#,,
TAŞUCU ,طاش اوجی ,Nahiye Silifkeİçel#
TATARBAZARCIĞI (Pazarzdzhık) ,تاتاربازارجغی ,Sancak (1878)#Vilâyet (1908)#Rumel-i Şarkî vilâyeti#Bulgaristan#
TATARLAR ,تاتارلر ,Nahiye#Köy#MerkezEdirne#SüloğluMerkezEdirne#
TATİLİ ,طات ايلی ,Sancak (17.yy.) Kefe eyâleti#
TATVAN (Tuğ) ,تاتوان ,Nahiye (1918)#Kaza (1936)#MerkezBitlis#Bitlis#
TAVAS (Yarangüme) ,طواس ,Kaza (1530)#Kaza (1841)#Kaza (1883)#Kaza (1924)#MenteşeAnadolu eyâleti#MenteşeAydın eyâleti#DenizliAydın vilâyeti#Denizli#
Tavginer (KORUYOLU) ,طاوکينر ,Nahiye (1865)#Köy#KemahErzincanErzurum vilâyeti#AlpköyKemahErzincan#
TAVİLA ,طويله ,Sancak (17. yy.)#Kaza Mrk.#Yemen eyâleti#KevkebanSanaYemen eyâleti#
TAVŞANLI ,طوشانلی ,Kaza (1530)#Nahiye (1842)#Kaza (1924)#KütahyaAnadolu eyâleti#MerkezKütahyaHudavendigâr eyâleti#Kütahya#
TAVŞANLI ,طوشانلی ,Nahiye (1865)#Köy#HafikSivasSivas vilâyeti#MerkezHafikSivas#
TAVŞANADASI ,طوشان آطه سی ,Ada (Çanakkale girişinde.) Çanakkale#
TAVTOVA ,طاوطوه ,Kaza (1878) BoğdanRomanya#
TAVUS ,طاوس ,Kaza (17.yy.) DiyarbakırDiyarbakır eyâleti,#,,
Tavusker (ÇATAKSU) ,طاوسکر ,Sancak (18. yy.)#Kaza ( 1830)#Nahiye Mrk. (1865)#Köy (Tavusker bölgesinde#“Olur” nahiyesi kuruldu ve#1958’de kaza oldu.)#Çıldır eyâleti#ErzurumErzurum eyâleti#OlurOltuErzurumErzurum vilâyeti#MerkezOlurErzurum#
TAYBE ,طيبه ,Nahiye (1865) VadilacemŞamSuriye vilâyeti#
Tayfur (TAYFURKÖY) ,طيفور ,Nahiye (1865)#Köy#MerkezGeliboluEdirne vilâyeti#MerkezGeliboluÇanakkale#
TAYGAN (Tagonrog) ,طيغان ,Liman Şehri#Liman Şehri#KırımRusya#KırımUkrayna#
TAYYÂRÎ-İ ULYÂ ve SÜFLÂ ,طيارئ عليا وَ سفلی ,Kaza (1855) HakkâriVan eyâleti#
TEBAHA ,تباها ,Nahiye (1874) BirüssebiKudüsFilistin#
TEBALE ,تباله ,Kasaba TihameYemen#
TEBE (M.Ö. Mısır ve Finike’den gelen göçmenlerle kurulmuş. İhtimale göre Mısır’ın Tebe şehrinin adı buraya verilmiş. Bu adda Tesalya ve Filistin’de birkaç kü.ük kasaba daha vardır.) ,تبه ,Kaza#Kaza#Atika-Biyotiya eyâleti#Yunanistan#
TEBGANİ ,تبغانی ,Kasaba HoraSisam emâreti#
TEBRİZ ,تبريز ,Eyâlet (1585)#Eyâlet (1603)#Eyâlet Mrk.#Azerbaycan eyâleti#İran yönetimi#Azerbaycan-İran#
TEBÜK ,تبوک ,Nahiye (1893) Ma‘anKerekSuriye vilâyeti,#,,
"TECİRLİ (Cevdetiye, Degirmenocağı) ",تاجرلو ,Kaza (1846)#Nahiye (1866)#Nahiye (1890)#Nahiye (1924)#Nahiye (1833)#Nahiye (1996)#ÜzeyrAdana eyâleti#BulanıkMaraşHalep vilâyeti#OsmaniyeCebelibereketAdana#OsmaniyeCebelibereket#OsmaniyeAdana#MerkezOsmaniye#
TEDMÜR ,تدمر ,Sancak (16.yy.) Şam eyâleti#
TEDMÜR maa HUMUS ,تدمرمع حمص ,Kaza (18. yy.) HumusŞam eyâleti#
TEDMÜR (Palmir) ,تدمر ,Nahiye (1882) Deyr-i Zor sancağı#
Tefen (Tefenpazarı) (GÖKÇEBEY) ,تفن ,Kaza (1841)#Nahiye (1924)#ViranşehirKastamonu eyâleti#DevrekZonguldak#
TEFENNİ ,تفنی ,Kaza (1866)#Kaza (1924)#BurdurKonya vilâyeti#Burdur#
"TEKE (Elmalı, Antalya) ",تکه ,Sancak (1530)#Sancak#Sancak (1846)#Sancak (1865)#Müstakil Sancak (1914)#Vilâyet (1924)#Anadolu eyâleti#Kaptanpaşa eyâleti#Karaman eyâleti#Konya vilâyeti#Teke sancağı#Antalya#
TEKE (Tekeköy) ,تکه ,Nahiye Mrk.#Nahiye#DeğirmençayırıŞileİstanbul#Şileİstanbul#
TEKİRDAĞ (Tekfurdağı) (Rodosçuk) (Rodosto) ,تکيرطاغ ,Kaza (17.yy.)#Kaza (1812)#Sancak (1846)#Sancak (1865)#Vilâyet (1924)#GeliboluRumeli eyâleti#VizeSilistre eyâleti#Edirne eyâleti#Edirne vilâyeti#Tekirdağ#
TEKKE (Tekkeköy) (1328 salnamesinde “Pelitlitekke”) ,تکه ,Nahiye#Nahiye (1953)#ErbaaTokat#TaşovaAmasya,#,,
TEKKEKÖY ,تکه کوی ,Kasaba#Kaza ( 1990)#MerkezMerkezSamsun#Samsun#
TEKKİRAZ ,تک کراز ,Nahiye ÜnyeOrdu#
TEKMAN ,تکمان ,Nahiye (1530) ŞoğikBayburtRum eyâleti#
TEKMAN maa HINIS ,تکمان مع خنس ,Kaza (1855) MuşErzurum eyâleti#
TEKMAN ,تکمان ,Nahiye (1924)#Kaza (1946)#HınısErzurum#Erzurum#
TEKYE ,تکيه ,Nahiye (1865)#Nahiye (1919)#SultanyeriGümülcineEdirne vilâyeti#SultanyeriGümülcineYunanistan#
TEL‘AFER ,تلعفر ,Kaza (1855)#Nahiye (1879)#MusulVan eyâleti#SincarMusulMusul vilâyeti#
Telin (SUÇATI) ,تلين ,Nahiye (1865)#Kasaba#GürünSivasSivas vilâyeti#MerkezGürünSivas#
TELKALAH ,تل کلخ ,Kaza Mrk. (1888)#Kaza Mrk.#HısnülekradTrablusşamBeyrut#HısnülekradSuriye#
TELMESAN ,تلمسان ,Kasaba VehranCezayir#
TELSİME maa LİCE ,تلسيمه مع ليجه ,Kaza (17.yy.) DiyarbakırDiyarbakır eyâleti#
TEL (Dernek) ,تل ,Köy MerkezLiceDiyarbakır#
TEL EL-KÂDİ ,تل القاضی ,Antik Şehir BanyasSuriye vilâyeti#
TEMEDMADİYE ,تمدماديه ,Nahiye (1865) SalatKerekSuriye vilâyeti#
TEMELLİ ,تمللی ,Nahiye (1926) PolatlıAnkara,#,,
TEMREZLER (Havran’ın Şekveren=Çamdibi k.yü civarında idi.) ,تمرزلر ,Nahiye (1530) EdremitKaresiAnadolu eyâleti#
Tenedos (BOZCAADA) ,تنه دوس ,Kaza (1866)#Kaza (1924)#LimniCezayir-i Bahrisefid vilâyeti#Çanakkale#
TENEZ ,تنس ,Kasaba VehranCezayir#
TENNUREYN ,تنورين ,Nahiye (1861) BatrounCebelilübnan sancağı#
TENÛME ,تنومه ,Nahiye (1873) MerkezAsirYemen vilâyeti#
TEPE (Behramki) (Tepebaravan) ,تپه ,Kaza (19.yy.)#Nahiye#Nahiye (1936)#DiyarbakırDiyarbakır eyâleti#MerkezDiyarbakırDiyarbakır eyâleti#BismilDiyarbakır#
TEPEBAŞI (Halimiye) ,تپه باشی ,Nahiye#Nahiye (1989)#ErmenekKonya#BaşyaylâKaraman#
TEPECİKÖREN (Sırkıntı) (Sırkıntı-i Bâlâ) ,تپه جک اوره ن ,Nahiye#Nahiye (1924)#MerkezKozanAdana#KozanAdana#
TEPEDELEN (Tepelene) ,تپه دلن ,Kaza (1867)#Kaza (1913)#ErgiriYanya vilâyeti#Arnavutluk#
TEPEHAN (Sinan) ,تپه خان ,Nahiye (1875)#Nahiye (1924)#PütürgeMalatyaM.m.retülaziz vilâyeti#PütürgeMalatya#
TERABİN ,ترابين ,Nahiye (1874) BirüsebiKudüsFilistin#
TERABUİN ,ترابو ئين ,Nahiye (1881) Tuzİşkodraİşkodra vilâyeti#
