İdârî Birimin Yeni Harflerle Adı 1	İdârî Birimin Yeni Harflerle Adı 2	İdârî Birimin Yeni Harflerle Adı 3	İdârî Birimin Yeni Harflerle Adı 4	İdârî Birimin Yeni Harflerle Adı 5	İdârî Birimin Yeni Harflerle Adı note	Eski Harflerle Adı	Unvan 1	Unvan 1 year	Unvan 1 note	Bagli 1 4	Bagli 1 3	Bagli 1 2	Bagli 1 1	Unvan 2	Unvan 2 year	Unvan 2 note	Bagli 2 4	Bagli 2 3	Bagli 2 2	Bagli 2 1	Unvan 3	Unvan 3 year	Unvan 3 note	Bagli 3 4	Bagli 3 3	Bagli 3 2	Bagli 3 1	Unvan 4	Unvan 4 year	Unvan 4 note	Bagli 4 3	Bagli 4 2	Bagli 4 1	Unvan 5	Unvan 5 year	Unvan 5 note	Bagli 5 3	Bagli 5 2	Bagli 5 1	Unvan 6	Unvan 6 year	Unvan 6 note	Bagli 6 2	Bagli 6 1	Unvan 7	Unvan 7 year	Unvan 7 note	Bagli 7 2	Bagli 7 1	Unvan 8	Unvan 8 year	Unvan 8 note	Bagli 8 2	Bagli 8 1	Unvan 9	Unvan 9 year	Bagli 9 3	Bagli 9 2	Bagli 9 1	Unvan 10	Unvani 10 year	Bagli 10 2	Bagli 10 1	Unvan 11	Unvani 11 year	Bagli 11 2	Bagli 11 1	Unvan 12	Bagli 12	Unvan 13	Bagli 13	Unvan 14	Unvan 14 year	Bagli 14
MUSUL						موصل	Sancak	1516					Diyarbakır eyâleti	Eyâlet	~1600					Musul eyâleti	Sancak	1855					Van eyâleti	Sancak	1861				Bağdad eyâleti	Sancak	1864				Hakkâri eyâleti	Sancak	1865			Van eyâleti	Vilâyet	1879			Musul vilâyeti	Vilâyet			Irak																					
Musun	SULUÇEM					موصون	Nahiye	1927				Karaköse	Bayazıt	Nahiye	1938				Doğubayazıt	Ağrı																																																						
MUSUN						موسون	Eyâlet		Kontluk				Macaristan																																																													
MUŞ						موش	Sancak	1548					Van eyâleti	Sancak	1846					Diyarbakır eyâleti	Sancak	1855					Erzurum eyâleti	Sancak	1876				Van vilâyeti	Sancak	1880				Bitlis vilâyeti	Sancak	1881			Van vilâyeti	Sancak	1884			Bitlis vilâyeti	Vilâyet	1924		Muş		Kaza	1926			Bitlis	Vilâyet	1929		Muş											
Muşar	AYDINLAR	Aşağı kuluşağı				مشار	Nahiye	~1530			Merkez	Malatya	Rum eyâleti	Nahiye	1926				Baskil	Elâzığ																																																						
MUŞAZ						مشاز	Kaza merkezi	1846			Koyulhisar	Karahisar-ı Şarkî	Trabzon eyâleti	Kaza merkezi	1933				Koyulhisar	Sivas																																																						
Muşgara	NEVŞEHİR				1725’te “Nevşehir” adını almıştır.	مشغره	Kaza	~1473				Niğde	Karaman eyâleti	Kaza	1864				Niğde	Konya vilâyeti																																																						
MUŞTEL						موشتل	Kaza	1562				Büyük Eflâk	Eflâk eyâleti	Kaza	1878					Romanya																																																						
MUT						موط	Kaza	~1530				İçil	Karaman eyâleti	Kaza	1846				İçil	Adana vilâyeti	Kaza	1924					İçil	Kaza	1933	İçil ile İçel’i ayrı ayrı mütal.a etmek gerekir. İçil: Merkezi Ermenek, sonra Silifke olan eski bir sancaktır. İçel ise, merkezi Mersin olan ve ismi Cumhuriyetten sonra verilen bir ilimizdir.			İçel																																									
MUTAHHAR İbn-i İMAM						مطهر ابن امام	Sancak	1550					Yemen eyâleti																																																													
MUTKİ	Hor					موطيکی	Kaza	1855				Muş	Erzurum eyâleti	Kaza	1880				Muş	Bitlis vilâyeti	Kaza	1884				Bitlis	Bitlis vilâyeti	Kaza	1924				Bitlis																																									
Mutmur	TAŞDELEN					موطمور	Nahiye	1877			Arapkir	Mamûretülaziz	Mamûretülaziz vilâyeti	Nahiye	1924				Arapkir	Malatya																																																						
Mügren	GÖLOVA					مکران	Nahiye					Elmalı	Antalya																																																													
Müküs	BAHÇESARAY					مکس	Sancak	1597					Van eyâleti	Kaza	1855				Van	Van eyâleti	Kaza	1865				Van-Hakkâri	Erzurum eyâleti	Nahiye	1882		Gevaş	Van	Van vilâyeti	Nahiye	1924			Gevaş	Van	Kaza	~1990			Van																														
MÜNAHA						مناحه	Kaza merkezi	1871			Haraz	Sana	Yemen vilâyeti																																																													
MÜNESTİR						منستير	Kasaba						Tunus																																																													
MÜNEYTIRA						منيطره	Nahiye	~1530				Trablus	Arap vilâyeti	Kaza	1856				Cebel-i Nasara	Sayda eyâleti	Nahiye	1861				Kisrevan	Cebel-i Lübnan sancağı																																															
MÜNŞİYE						منشيه	Nahiye	16. yy.				Nevâhi-i Erbaa	Trablusgarb																																																													
MÜNTEFİK	Nasıriye					منتفق	Sancak	1855					Bağdad maa Şehrizor eyâleti	Sancak	1867					Bağdad vilâyeti	Sancak	1875					Basra vilâyeti	Sancak	1880				Bağdad vilâyeti	Sancak	1884				Basra vilâyeti																																			
MÜREFTE	Miryofito					مرفته	Kaza	1865				Gelibolu	Edirne vilâyeti	Nahiye	1924				Şarköy	Tekirdağ																																																						
MÜRSELEFENDİ						مرسل افندی	Nahiye	1865			Merkez	Konya	Konya vilâyeti	Nahiye		Lağvedilmiş. köylerinin hepsi şimdi Cihanbeyli merkez bucağında.			Merkez	Konya																																																						
MÜRSKULU						مرس قولی	Nahiye	~1530			Soğik	Bayburt	Rum eyâleti																																																													
MÜRŞİTPINAR	Kü.ükkendirci					مرشد پيکار	Nahiye	1924				Suruç	Şanlıurfa																																																													
MÜSEYYEB						مسيب	Kaza	1852				Kerbelâ	Bağdad maa Şehrizor eyâleti	Nahiye	1867			Merkez	Kerbelâ	Bağdad vilâyeti																																																						
Müsgebi	ORTAKENT	Yalıkavak				مسکبی	Nahiye	1924				Bodrum	Muğla																																																													
MÜSTECEB						مستجب	Nahiye	1924				Malkara	Tekirdağ	Köy				Ballı	Malkara	Tekirdağ																																																						
Müsyan	YAMAÇ					موسيان	Nahiye					Merkez	Bingöl																																																													
MÜŞKİN						مشکين	Kaza					Azerbaycan	İran																																																													
NABLUS						نابلوس	Nahiye	1516				Gazze	Arap vilâyeti	Sancak	1520					Şam eyâleti	Sancak merkezi	1623				Belka	Sayda eyâleti	Sancak	1634				Sayda eyâleti	Kaza	1856			Kudüs	Sayda eyâleti	Sancak merkezi	~1900-1912		Belka	Beyrut vilâyeti																														
NACE						ناجه	Nahiye	1872			Merkez	Yozgat	Ankara vilâyeti																																																													
NADAZ	Nadasa					نداز	Sancak	16. yy.					Kanije eyâleti																																																													
NADİRA						نادره	Nahiye	1873			Ka‘taba	Taizz	Yemen vilâyeti																																																													
NADİRLİ						نادرلی	Nahiye		Lağvedilmiş, köylerinden bir kısmı Türkoğlu ilçesinde.		Merkez	Maraş	Halep vilâyeti																																																													
NAFTA						نفطه	Kasaba						Tunus																																																													
NAHCİVAN						نخجوان	Eyâlet	1587					Nahcivan eyâleti	Sancak	1603					İran yönetimi	Sancak	1724					Osmanlı yönetimi	Eyâlet	1734				İran yönetimi	Eyâlet					Rusya yönetimi	Kaza			Erivan	Ermenistan																														
Naib	NAİPKÖY					نائب	Nahiye	1865			Merkez	Tekfurdağı	Edirne vilâyeti	Köy				Barbaros	Merkez	Tekirdağ																																																						
Naipli	GÖKÇEKENT	Yukarıgörede				نائپلی	Nahiye	~1530			Koyulhisar	Karahisar-ı Şarkî	Rum eyâleti	Nahiye	1867			Koyulhisar	Karahisar-ı Şarkî	Sivas vilâyeti	Nahiye	1924				Koyulhisar	Şebinkarahisar	Nahiye	1933			Suşehri	Sivas																																									
Naibli	KALKIM					نائبلی	Köy				Agonya	Edremit	Balıkesir	Nahiye	1936				Yenice	Çanakkale																																																						
NAKSOS	Nakşa				Kiklada adalarının en büyüğü. Türkler “Nakşa” demişlerdir.	ناقسوس	Sancak	1566					Kaptanpaşa eyâleti	Sancak						Cezayir-i Bahr-i Sefid eyâleti	Sancak	1829					Yunanistan																																															
NA‘LEYN						نعلين	Nahiye	1874				Yafa	Kudüs sancağı																																																													
NALLIHAN						نعللوخان	Nahiye	~1530			Beypazarı	Hudavendigâr	Anadolu eyâleti	Kaza	1841				Ankara	Ankara eyâleti	Kaza	1849				Ankara	Bozok eyâleti	Kaza	1867			Ankara	Ankara vilâyeti	Kaza	1924				Ankara																																			
NALÛT						نالوت	Kaza	16. yy.				Cebel-i Garbî	Trablusgarb																																																													
Namrevan	NARMAN	Îd				نام روان	Sancak	1534					Erzurum eyâleti	Sancak	1732					Çıldır eyâleti	Sancak	1828					Erzurum eyâleti	Kaza	1830			Çıldır	Erzurum eyâleti	Nahiye	1918		Oltu	Erzurum	Erzurum vilâyeti	Nahiye	1924		Tortum	Erzurum	Kaza	1950			Erzurum																									
Namrun	ÇAMLIYAYLÂ					نمرون	Nahiye	~1530			Ulaş	Tarsus	Arap vilâyeti	Nahiye	1890			Tarsus	Mersin	Adana vilâyeti	Nahiye	1933				Tarsus	İçel	Kaza	~1990				İçel	Kaza	2005				Mersin																																			
NAOPLİE						ناوپليه	Eyâlet merkezi					Argolide maa Korentiye	Yunanistan																																																													
NARA						ناره	Nahiye	1871			Hacur	Hudeyde	Yemen vilâyeti																																																													
NARDE	Narta					نارده	Sancak	19. yy.					Rumeli eyâleti	Sancak	1849					Yanya eyâleti	Kaza	1867				Preveze	Yanya eyâleti	Kaza	1881				Yunanistan																																									
NARİNCE						نارنجه	Nahiye merkezi	1877		Mirdis	Kâhta	Malatya	Mamûretülaziz vilâyeti	Nahiye	1924				Kâhta	Malatya	Nahiye	1954				Kâhta	Adıyaman																																															
NARKÖY					Nevşehir’in eski merkezi.	نارکوی	Kasaba				Merkez	Merkez	Nevşehir																																																													
NARLI						نارلی	Nahiye					Pazarcık	Kahramanmaraş																																																													
NARLI	Giresor					نارلی	Nahiye					Çatak	Van																																																													
NARLIDERE						نارلی دره	Kaza	~1990					İzmir																																																													
NARLIDERE	Kasrik					نارلی دره	Köy				Şetek	Merkez	Bitlis	Nahiye					Merkez	Bitlis																																																						
NARMAN	Namrevan	Îd				نارمان	Sancak	1732					Çıldır eyâleti	Kaza	1830				Çıldır	Erzurum eyâleti	Nahiye	1918			Oltu	Erzurum	Erzurum vilâyeti	Nahiye	1924			Tortum	Erzurum	Kaza	1950				Erzurum																																			
NASIRA	Nazareth				Hz. İsa uzun süre burada ikâmet ettiğinden Hristiyanlarca kutsal sayılmıştır.	ناصره	Kaza	1660				Akka	Sayda eyâleti	Kaza	1865				Akka	Suriye vilâyeti	Kaza	1888				Akka	Beyrut vilâyeti																																															
NASIRİYE						ناصريه	Sancak merkezi	1875				Müntefik	Basra vilâyeti																																																													
NASLİÇ	Lapçişte, Neopolis					ناسليچ	Kaza	1889				Serfiçe	Manastır vilâyeti	Kaza	1913				Serfiçe	Yunanistan																																																						
NASRETTİN						نصرالدين	Nahiye	1846			Gülnar	İçil	Karaman eyâleti	Köy				Merkez	Gülnar	İçel																																																						
NAVARİN	Neokastron	Pylos			1827 Yunan isyanı sırasında Rusya, Fransa ve İngiltere tarafından donanmamız burada yakıldı.	ناوارين	Sancak	18. yy.					Mora eyâleti	Kaza	1827				Mesenye	Yunanistan																																																						
NAVİSE						ناوسه	Nahiye	~1530				Ana ve Hit	Diyarbakır eyâleti																																																													
NAYSAÇ	Neosatz					نايساچ	Kasaba					Bakis	Macaristan																																																													
NAZIMİYE	Kızılkilise					ناظميه	Kaza	1888				Dersim	Mamûretülaziz vilâyeti	Kaza	1923					Erzincan	Kaza	1936					Tunceli																																															
NAZİLLİ	Kestel				İlk kaza “Kestel”dir. Halen Nazilli’nin bir k.yüdür.	نازللی	Kaza	~1530				Aydın	Anadolu eyâleti	Kaza	1867				Aydın	Aydın vilâyeti	Kaza	1924					Aydın																																															
NEBEK	Karalar					نبک	Kaza					Şam	Suriye vilâyeti																																																													
NECEF	Meşhed-i Ali					نجف	Kaza	1867				Kerbelâ	Bağdad																																																													
Necib	NECİPKÖY					نجيب	Nahiye	1865			Merkez	Tokat	Sivas vilâyeti	Köy				Dökmetepe	Turhal	Tokat																																																						
NECİD	Necd-i Şarkî	El-Hufûf				نجد	Sancak	17. yy.					El-Ahsa (Ahsa) eyâleti	Sancak	1853					Şehrizor eyâleti	Sancak	1855					Habeş eyâleti	Sancak	1875				Basra vilâyeti																																									
NEHİLİ						نهيلی	Nahiye	1855			İmadiye	Musul	Van eyâleti																																																													
NEHM						نهم	Nahiye	1871				Sana	Yemen vilâyeti																																																													
NEHRANİ						نهرانی	Kaza	1830				Diyarbakır	Diyarbakır eyâleti																																																													
Nehri	BAĞLAR					نهری	Kaza merkezi	1924			Şemdinan	Hakkâri	Van eyâleti	Köy				Merkez	Şemdinli	Hakkâri																																																						
NEHRÜ’L-CEVZ						نهرالجوز	Nahiye	1517				Ayıntab	Arap vilâyeti																																																													
NEHRİŞAH						نهرشاه	Nahiye	1851			Hille	Divaniye	Bağdad																																																													
NEHRÜVAN						نهروان	Kaza	1852				Horasan	Bağdad maa Şehrizor eyâleti	Nahiye	1867			Horasan	Bağdad	Bağdad vilâyeti																																																						
Nergile	ALTINYAPRAK					نرکيله	Nahiye	1522			Elbistan	Maraş	Zülkadriye eyâleti	Köy				Merkez	Elbistan	Kahramanmaraş																																																						
NERİZ						نريز	Kasaba				Erdebil	Azerbaycan	İran																																																													
NESTERAM						نسترام	Nahiye	1870			Kesriye	Görice	Manastır vilâyeti																																																													
NEŞVE						نشوه	Nahiye	1875			Kurna	Basra	Basra vilâyeti																																																													
Nevâhi-Alâiye	AKSEKİ	Marulya				نواحيئ علائيه	Nahiye	~1530			Merkez	Alâiye	Anadolu eyâleti	Kaza	1846				Alâiye	Karaman eyâleti	Kaza	1865				Teke	Konya vilâyeti	Kaza	1924				Antalya																																									
Nevâhi-i Bergama	KINIK					نواحيئ برغمه	Nahiye	1890			Bergama	İzmir	Aydın vilâyeti	Kaza	1948					İzmir																																																						
NEVÂHİ-İ ERBAA	Terkos					نواحيئ اربعه	Sancak	1846					Edirne eyâleti																																																													
Nevâhi-i Erbaa	KARADAĞ					نواحيئ اربعه	Kaza		1272/1855 salnanesinde kaza statüsünde olan bu yer için “Vilâyet-i Karadağ, nâm-ı diğer Nevâhi-i Erbaa” denilmiştir.			İşkodra	Rumeli eyâleti																																																													
NEVÂHİ-İ ERBAA						نواحيئ اربعه	Kaza	16. yy.				Trablusgarb	Libya																																																													
NEVÂHİ-İ ERMENEK						نواحيئ ارمنک	Kaza	16. yy.				İçil	Karaman eyâleti																																																													
NEVASIRA maa KARDAHA						نواصره مع قرداحه	Nahiye	1912			Cebele	Lazkiye	Beyrut vilâyeti																																																													
NEVB						نوب	Nahiye	1861				Metin	Cebel-i Lübnan sancağı																																																													
NEVBAYAZIT	Yenibayazıt					نو بايذد	Kaza					Erivan	Ermenistan																																																													
NEVİSKA						نوسقه	Nahiye	1874			Filorina	Manastır	Manastır vilâyeti																																																													
NEVRE maa BAZYAN						نوره مع بازيان	Kaza	1855				Süleymaniye	Bağdad maa Şehrizor eyâleti																																																													
NEVREKOP						نوره قوب	Kaza	1867				Siroz	Selânik vilâyeti																																																													
NEVŞEHİR	Muşgara					نوشهر	Kaza	1473				Niğde	Karaman eyâleti	Kaza	1864				Niğde	Konya vilâyeti	Kaza	1902				Kırşehir	Ankara vilâyeti	Kaza	1924				Kırşehir	Vilâyet	1954				Nevşehir																																			
Nezgep	ÇİĞDEMLİ					نزکب	Nahiye	1865			Kemah	Erzincan	Erzurum vilâyeti	Köy				Bozoğlak	Kemah	Erzincan																																																						
NISF-I LİVANE						نصف لوانه	Sancak		Artvin’le Yusufeli arası.				Çıldır eyâleti																																																													
Nif	KEMALPAŞA					نيف	Kaza	~1530				Saruhan	Anadolu eyâleti	Nahiye	1867			Merkez	İzmir	Aydın vilâyeti	Kaza	1900				İzmir	Aydın vilâyeti	Kaza	1924				İzmir																																									
NİĞBOLU	Nikopol				Asıl imlâsı “Nikopolis” olup Zafer şehri manasındadır. İkisi Türkiye’de (Ayas=Yumurtalık ve Divriği, diğerleri Filistin ve Güney Arnavutluk’ta olmak üzere beş tanedir.)	نيکبولی	Sancak						Rumeli eyâleti	Sancak	17. yy.					Özü eyâleti	Sancak	1830					Silistre eyâleti	Kaza	1834			Vidin	Vidin eyâleti	Kaza	1885			Plevne	Bulgaristan																																			
NİĞDE						نيکده	Sancak	1473					Anadolu eyâleti	Sancak	1483					Karaman eyâleti	Sancak	1864					Konya vilâyeti	Vilâyet	1924				Niğde																																									
NİHAH						نخاخ	Kaza merkezi	1924				Tortum	Erzurum																																																													
NİKARYA	Karyot					نيقاريه	Kaza (ada)	1867				Sakız	Cezayir-i Bahr-i Sefid vilâyeti																																																													
NİKODİM						نقوديم	Nahiye	1877			Köprülü	Üsküb	Kosova vilâyeti																																																													
NİKOLAYEF						نيقولايف	Şehir					Horson eyâleti	Rusya																																																													
NİKOŞ						نيقوش	Kasaba						Karadağ																																																													
NİKRİTA						نکريطه	Nahiye	1877			Merkez	Siroz	Selânik vilâyeti																																																													
NİKSAR ve SONİSA						نيکسار وَ صونيسه	Sancak	~1530					Rum eyâleti																																																													
NİKSAR	Nikhisar					نيکسار	Kaza	1537				Sivas	Sivas eyâleti	Kaza	1846				Canik	Trabzon eyâleti	Kaza	1878				Tokat	Sivas vilâyeti	Kaza	1924				Tokat																																									
NİKŞİK						نيکشيک	Kaza	1913				Karadağ	Yugoslavya																																																													
NİL						نيل	Kaza	1851				Divaniye	Bağdad maa Şehrizor eyâleti																																																													
NİLÜFER						نيلوفر	Kaza	~1990					Bursa																																																													
NİNOVA						نينوه	Antik şehir				Merkez	Musul	Irak																																																													
NİRUH						نيروه	Nahiye	1879			İmadiye	Musul	Musul vilâyeti																																																													
NİŞ						نيش	Eyâlet	1846-1864					Niş eyâleti	Sancak	1867					Prizren vilâyeti	Sancak	1870					Tuna vilâyeti	Sancak	1876				Sofya	Sancak	1878				Sırbistan yönetimi																																			
Niv	ARPALI					نيو	Nahiye	1888			Bayburt	Erzurum	Erzurum vilâyeti	Kasaba				Aydıntepe	Bayburt	Gümüşhane	Kasaba					Aydıntepe	Bayburt																																															
NİYAMİÇ maa PİYATRE						نياميچ مع پياتره	Kaza	~1455				Boğdan	Boğdan eyâleti	Kaza	1878				Boğdan	Romanya																																																						
NİZİP						نزيب	Kaza	1520				Rakka	Halep eyâleti	Nahiye	1867			Birecik	Urfa	Halep vilâyeti	Kaza	1926					Gaziantep																																															
Norduz	YALINCA	Dimköy				نوردوز	Kaza	1855				Van	Van eyâleti	Nahiye	1822			Şatak	Van	Van vilâyeti	Nahiye	1935				Gürpınar	Van																																															
Norgâh	PAZARYOLU					نورکاه	Nahiye	1865			İspir	Erzurum	Erzurum vilâyeti	Nahiye	1924				İspir	Erzurum	Kaza	~1990					Erzurum																																															
Norşin	GÜROYMAK	Çukur				نورشين	Nahiye	1878			Merkez	Bitlis	Bitlis vilâyeti	Nahiye merkezi	1924			Çukur	Merkez	Bitlis	Kaza	~1990					Bitlis																																															
NOTYA						نوطيه	Nahiye	1867			Gevgili	Selânik	Selânik vilâyeti																																																													
NOVEBERDE	Geylân					نوبرده	Kaza	1846				Priştine	Üsküp eyâleti	Kaza	1877				Priştine	Kosova vilâyeti																																																						
NOVESİN						نوه سين	Kaza	1866				Hersek	Bosna vilâyeti																																																													
NOVİGRAD	Nograd					نووغراد	Sancak	1543					Budin eyâleti	Sancak	1663					Uyvar eyâleti	Sancak	1593					Macaristan																																															
NOVİVAROŞ						نوواروش	Kasaba					Sırbistan	Yugoslavya																																																													
NUCEYR						نجير	Kale						Yemen																																																													
NUCEYREM						نجيرم	Kasaba					Basra	Basra vilâyeti																																																													
NUMANİYE						نعمانيه	Nahiye	1867			Kütülamâre	Bağdad	Bağdad vilâyeti																																																													
NURDAĞI	Kurudere					نور طاغی	Kasaba				Fevzipaşa	İslâhiye	Gaziantep	Kaza	~1990					Gaziantep																																																						
NURETTİN	Konakkuran					نور الدين	Nahiye	1880			Malazgirt	Muş	Bitlis	Nahiye	1924				Malazgirt	Muş																																																						
NURHAK ve ÇOBANPAZARI						نورحق وَ چوبان بازاری	Nahiye	1522			Maraş	Maraş	Zülkadriye eyâleti																																																													
NURHAK						نورحق	Nahiye	1924				Elbistan	Kahramanmaraş	Kaza	~1990					Kahramanmaraş																																																						
NUSAYBİN						نصيبين	Sancak	1520					Diyarbakır eyâleti	Kaza	1848				Mardin	Diyarbakır eyâleti	Kaza	1924					Mardin																																															
Nusretiye	ŞEHİT NUSRETBEY	Harapreşmenkuş				نصرتيه	Nahiye					Harran	Urfa	Nahiye	1846				Akçakale	Şanlıurfa																																																						
NÜGÜRCÜK						نکورجک	Nahiye	1878			Oltu	Erzurum	Erzurum vilâyeti	Köy				Merkez	Oltu	Erzurum																																																						
OBA					Halen Alanya’ya bağlı iki adet “Oba” k.yü var.	اوبا	Nahiye	~1530			Merkez	Alâiye	Anadolu eyâleti																																																													
OBRUK						اوبروق	Nahiye					Merkez	Konya	Nahiye	~1990				Karatay	Konya																																																						
OÇAKOF	ÖZÜ	Otchakov				اوچاقوف	Eyâlet	1593					Özü eyâleti	Sancak	1812					Silistre eyâleti																																																						
ODESA	Hocabey					اودسه	Liman şehri					Ukrayna	Rusya	Liman şehri						Ukrayna																																																						
ODİM						اوديم	Kaza	1608				Kıbrıs	Cezayir-i Bahr-i Sefid eyâleti																																																													
OF	Solaklı					اوف	Kaza	~1530				Trabzon	Rum eyâleti	Kaza	1585				Trabzon	Trabzon eyâleti	Kaza	1868				Trabzon	Trabzon vilâyeti	Kaza	1924				Trabzon																																									
OĞLAKDERE						اوغلاق دره	Kaza	1841				Viranşehir	Kastamonu eyâleti																																																													
Oğnut	GÖYNÜK					اوغنوط	Kaza	19. yy.				Diyarbakır	Diyarbakır eyâleti	Nahiye	1878			Arduşin	Genç	Bitlis vilâyeti	Köy	1926			Perhangök	Çapakçur	Elâzığ	Nahiye	1936			Karlıova	Bingöl																																									
OĞUZ	Şimiz					اوغوز	Nahiye	1924				Beşiri	Siirt	Nahiye	1990				Beşiri	Batman																																																						
OĞUZ	Eriç					اوغوز	Nahiye					Kemah	Erzincan																																																													
OĞUZELİ						اوغوز ايلی	Kaza	1946					Gaziantep																																																													
Oğuzhan	BUCAK					اوغوزخان	Kaza	~1846				Teke	Karaman eyâleti	Nahiye	1926				Antalya	Konya vilâyeti	Kaza	1926					Burdur																																															
OĞUZLAR	Karaören					اوغوزلر	Kasaba				Merkez	İskilip	Çorum	Kaza	~1990					Çorum																																																						
OHİ						اوخی	Nahiye	1889			Palu	Erganimadeni	Diyarbakır vilâyeti	Nahiye		1936’da lağvedildi. Köyleri Karakoçan’a bağlandı.			Palu	Elâzığ																																																						
OHRİ	Ohrid					اوخری	Sancak	1466					Rumeli eyâleti	Sancak	1867					Selânik vilâyeti	Kaza	1913					Makedonya																																															
Ohtap	YAĞMURLU					اوخطاب	Nahiye	1865			Merkez	Tokat	Sivas vilâyeti	Köy				Gökdere	Merkez	Tokat																																																						
Ohturum	EKİNGÖLÜ					اوختوروم	Nahiye	1873			Hafik	Sivas	Sivas vilâyeti	Köy				Merkez	Hafik	Sivas																																																						
Okam	ÇAYIRBAŞI					اوقام	Nahiye	1926				Göle	Kars																																																													
OKÇUİZZETTİN						اوقچی عزالدين	Nahiye		Lağvedilmiş köylerinin bir kısmı Kilis’in Musabeyli bucağında.		Kilis	Halep	Halep vilâyeti																																																													
OKNA					Ocna Mureş, Ocna Sibiulul ve Ocna Sugatag olmak üzere ü. kasaba.	اوقنه	Kasaba						Romanya																																																													
OLİMPUS maa KEŞERLÜ						اوليمپوس مع کشرلو	Kaza	1846				Tırhala	Selânik eyâleti																																																													
OLTENİÇE	Oltenitza					اولتنيچه	Kasaba					Eflâk	Romanya																																																													
OLTU						اولتی	Sancak	1578					Çıldır eyâleti	Sancak merkezi	1828				Çıldır	Erzurum eyâleti	Sancak	1878				Erzurum	Erzurum vilâyeti	Kaza	1921				Erzurum																																									
OLTU						اولتی	Kaza	1562				Büyük Eflâk	Eflâk eyâleti	Kaza	1878					Romanya																																																						
OLUKALAN						اولوق آلاگی	Nahiye	1878			Niksar	Tokat	Sivas vilâyeti	Köy				Çamiçi	Niksar	Tokat																																																						
OLUR					Eski “Tavusker” kazası bölgesinde kuruldu. C. Öncesinde yok. 1928 salnamesinde nahiye ve merkezi Tavusker = Çataksu şimdi Olur merkez bucağına bağlı bir köy.	اولور	Köy			Merkez	Oltu	Erzurum	Erzurum	Nahiye					Oltu	Erzurum	Kaza	1958					Erzurum																																															
Omcalı	KİRANLIK					اومجه لی	Nahiye merkezi				Karaköy	Varto	Bitlis	Nahiye merkezi	1929			Karaköy	Varto	Muş																																																						
OMORFO						اومورفو	Kaza	1571				Kıbrıs	Cezayir-i Bahr-i Sefid eyâleti																																																													
ONAĞ						اوناغ	Eyâlet						Macaristan																																																													
ONDOKUZMAYIS	Engiz	Ballıca				اون طقوز مايس	Kasaba				Merkez	Bafra	Samsun	Kaza	~1990					Samsun																																																						
Onikidivan	BARTIN					اون ايکی ديوان	Kaza	~1530				Bolu	Anadolu eyâleti	Kaza	1841				Viranşehir	Kastamonu eyâleti	Kaza	1865				Bolu	Kastamonu vilâyeti	Kaza	1924				Zonguldak	Vilâyet	1991				Bartın																																			
OPAR						اوپار	Nahiye	1874			Merkez	Görice	Manastır vilâyeti																																																													
OPATORYA	Gözleve					اوپاتوريا	Kasaba				Kırım	Kırım eyâleti	Rusya	Kasaba					Kırım	Ukrayna																																																						
Oramar	DAĞLICA					اورامار	Nahiye	1888			Gevar	Hakkâri	Van vilâyeti	Nahiye	1926				Yüksekova	Hakkâri																																																						
ORAN	Vehran					اوران	Sancak	1534					Cezayir eyâleti																																																													
ORÇUL						اورچول	Nahiye		Refahiye’nin kuzeyinde idi.		Merkez	Kemah	Rum eyâleti																																																													
ORDU	Bayramlı	Eskipazar			1847-1867 arasında sancaktır. (1863’te sancak merkezi Giresun, 1864-1867 arası sancak Giresun’dur.) 1928 salnamesinde merkez kazası için “Ordu Bucak” ismi kullanılmış. Bucak şimdi Ordu’nun bir mahallesidir.	اردو	Kaza	1515				Karahisar-ı Şarkî	Erzincan eyâleti	Kaza	1520				Canik	Rum eyâleti	Sancak	1537				Karahisar-ı Şarkî	Rum eyâleti	Kaza	1553			Karahisar-ı Şarkî	Erzurum eyâleti	Kaza	1647			Trabzon	Trabzon eyâleti	Sancak	1847			Trabzon eyâleti	Kaza	1868		Trabzon	Trabzon vilâyeti	Vilâyet	1924		Ordu																					
ORDU					Atlasta Yaylâdağı’nın diğer adıdır. Yine 1730 M. İrtifaında “J. Akra”da buradadır. Başka bir kaynakta Ordu “Cebeli Akra”nın merkezidir.	اردو	Kaza merkezi	1520			Cisr-i Şugûr	Antakya	Halep eyâleti	Nahiye				Cisr-i Şugûr	Halep	Suriye																																																						
ORDUBAŞI						اردو باشی	Köy		Selçuklu ve Danişmendliler zamanında Çarşamba yöresinin ilk idare merkezidir.		Merkez	Çarşamba	Samsun																																																													
ORHANELİ	Adranos	Beyce				اورخان ايلی	Kaza	~1530				Hudavendigâr	Anadolu eyâleti	Kaza	1867				Bursa	Hudavendigâr vilâyeti	Kaza	1924					Bursa																																															
ORHANGAZİ	Pazarköy					اورخان غازی	Kaza	1841				Bursa	Hudavendigâr eyâleti	Kaza	1924					Bursa																																																						
Orhanıkebir	BÜYÜKORHAN					اورخان کبير	Nahiye					Orhaneli	Bursa	Kaza	~1990					Bursa																																																						
ORHANİYE	Kaçanik					اورخانيه	Kaza	1877				Üsküb	Kosova vilâyeti	Kaza	1913				Üsküb	Yugoslavya																																																						
ORHANİYE	Botev-grad				1866-1934 arası “Orhaniye” adı kullanıldı.	اورخانيه	Kaza	1878				Sofya	Bulgaristan eyâleti	Kasaba					Sofya	Bulgaristan																																																						
